entry_id,category_id,symptom,likely_cause,check_or_fix,fix_role,buy_needed,checklist_role_ref,confidence,source,reviewed_by,reviewed_on,notes
T0001,western_blot,完全没有条带 / no bands at all,二抗宿主与一抗不匹配 / secondary antibody does not match the primary host species,确认二抗是 anti-[一抗宿主]（一抗 rabbit 就用 anti-rabbit）；不匹配则更换二抗 / confirm the secondary is anti-[primary host] and replace it if not,secondary_antibody,yes,western_blot:secondary_antibody,drafted,checklist,,,
T0002,western_blot,完全没有条带 / no bands at all,显影底物（ECL）失效或过期 / ECL substrate inactive or expired,检查 ECL 有效期并换新鲜底物；确认 HRP 二抗未失活 / check the ECL date and use fresh substrate; confirm the HRP secondary is active,detection_substrate,yes,,drafted,model,,,
T0003,western_blot,完全没有条带 / no bands at all,转膜失败（膜未活化、三明治装反、气泡）/ transfer failed (membrane not activated or sandwich reversed or bubbles),转膜后用丽春红染色确认蛋白在膜上；PVDF 须甲醇活化；检查方向和气泡 / Ponceau-stain the membrane after transfer; activate PVDF in methanol; check orientation and bubbles,membrane,sometimes,,drafted,model,,,
T0004,western_blot,目标条带没有但不确定是抗体还是样本的问题 / no target band and unsure whether antibody or sample is at fault,缺少阳性对照，无法区分'目标不表达'和'实验失败' / no positive control so target-absent and assay-failed look the same,加一条已知表达目标蛋白的裂解液作为阳性对照 / run a lysate known to express the target as a positive control,positive_control,yes,western_blot:positive_control,drafted,checklist,,,
T0005,western_blot,磷酸化蛋白信号很弱或没有 / weak or no signal for a phospho-protein,用脱脂奶粉封闭，奶粉中的磷蛋白掩盖磷酸化表位 / blocked with milk whose phosphoproteins mask phospho-epitopes,封闭和稀释抗体都改用 5% BSA/TBST，不用奶粉 / block and dilute antibodies in 5% BSA in TBST instead of milk,blocking_agent,sometimes,western_blot:blocking_agent,drafted,checklist,,,
T0006,western_blot,整张膜背景高 / high background across the membrane,封闭不足或抗体浓度过高 / insufficient blocking or antibodies too concentrated,室温封闭 1 h（5%）；稀释一抗二抗；增加 TBST 洗涤次数和时间 / block 1 h at room temperature; dilute both antibodies; add TBST washes,blocking_agent,sometimes,,drafted,model,,,
T0007,western_blot,背景呈斑点状 / speckled or dotted background,封闭液或抗体液中有颗粒聚集，或膜曾干过 / aggregates in blocking or antibody solution or the membrane dried out,过滤封闭液；抗体液离心后使用；全程保持膜湿润 / filter the blocking solution; spin antibody solutions; keep the membrane wet throughout,blocking_agent,no,,drafted,model,,,
T0008,western_blot,多条非特异条带 / multiple non-specific bands,一抗浓度过高或特异性差；样本蛋白降解 / primary too concentrated or poorly specific; sample degraded,滴定一抗浓度；裂解时加蛋白酶抑制剂；样本保持低温 / titrate the primary; add protease inhibitors at lysis; keep samples cold,primary_antibody,sometimes,,drafted,model,,,
T0009,western_blot,条带位置与预期分子量不符 / band at an unexpected molecular weight,翻译后修饰、剪接异构体，或 marker 读错 / post-translational modification or isoform or ladder misread,对照预染 marker 重新判读；查文献中该蛋白的表观分子量 / re-read against a pre-stained ladder; check the literature for the apparent size,protein_ladder,sometimes,,drafted,model,,,
T0010,western_blot,泳道之间条带强弱无法比较 / cannot compare band intensity between lanes,没有上样对照，上样量差异无法排除 / no loading control so loading differences cannot be ruled out,同一张膜检测管家蛋白（GAPDH / β-actin）作上样对照 / probe the same membrane for a housekeeping protein as loading control,loading_control,yes,western_blot:loading_control,drafted,checklist,,,
T0011,western_blot,上样对照条带与目标条带重叠 / loading control band overlaps the target band,管家蛋白与目标蛋白分子量相近 / housekeeping protein has a similar size to the target,换一个分子量不同的上样对照（GAPDH 37 kDa、β-actin 42、tubulin 55）/ pick a loading control at a different size,loading_control,yes,western_blot:loading_control,drafted,checklist,,,
T0012,western_blot,条带笑脸状或变形 / smiling or distorted bands,电泳过热或样本盐浓度高 / gel overheated or high salt in the sample,降低电压、冰上或冷室电泳；样本脱盐或减少上样体积 / run at lower voltage or in the cold; desalt or load less,buffer_running,no,,drafted,model,,,
T0013,western_blot,曝光后出现白色（负）条带 / white or negative bands on exposure,蛋白量或 HRP 过多导致底物局部耗尽 / too much protein or HRP so the substrate is locally depleted,减少上样量或稀释抗体；缩短曝光 / load less or dilute antibodies; shorten the exposure,detection_substrate,sometimes,,drafted,model,,,
T0101,rt_qpcr,无模板对照（NTC）有信号 / signal in the no-template control,试剂污染或引物二聚体 / reagent contamination or primer dimers,每块板都做 NTC；换新水和预混液；看熔解曲线是否为二聚体峰 / run NTC on every plate; use fresh water and master mix; check the melt curve for a dimer peak,qpcr_master_mix,sometimes,rt_qpcr:no_template_control,drafted,checklist,,,
T0102,rt_qpcr,-RT 对照有信号 / signal in the minus-RT control,基因组 DNA 污染 / genomic DNA contamination,RNA 做 DNase 处理；引物设计跨外显子连接处 / DNase-treat the RNA; design primers across an exon-exon junction,dnase,yes,rt_qpcr:no_rt_control,drafted,checklist,,,
